"REF_DATE","GEO","DGUID","Prices","Seasonal adjustment","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Business gross fixed capital formation","Dollars","81","millions","6","v62305733","1.1.1.11","356336","","","","0"
"2020-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Business gross fixed capital formation","Dollars","81","millions","6","v62305733","1.1.1.11","298520","","","","0"
"2019-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Residential structures","Dollars","81","millions","6","v62305734","1.1.1.12","137557","","","","0"
"2019-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Residential structures","Dollars","81","millions","6","v62305734","1.1.1.12","142068","","","","0"
"2019-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Residential structures","Dollars","81","millions","6","v62305734","1.1.1.12","142475","","","","0"
"2020-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Residential structures","Dollars","81","millions","6","v62305734","1.1.1.12","141401","","","","0"
"2020-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Residential structures","Dollars","81","millions","6","v62305734","1.1.1.12","120299","","","","0"
"2019-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Non-residential structures, machinery and equipment","Dollars","81","millions","6","v62305735","1.1.1.13","184017","","","","0"
"2019-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Non-residential structures, machinery and equipment","Dollars","81","millions","6","v62305735","1.1.1.13","185406","","","","0"
"2019-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Non-residential structures, machinery and equipment","Dollars","81","millions","6","v62305735","1.1.1.13","183116","","","","0"
"2020-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Non-residential structures, machinery and equipment","Dollars","81","millions","6","v62305735","1.1.1.13","181850","","","","0"
"2020-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Non-residential structures, machinery and equipment","Dollars","81","millions","6","v62305735","1.1.1.13","147549","","","","0"
"2019-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Non-residential structures","Dollars","81","millions","6","v62305736","1.1.1.14","112644","","","","0"
"2019-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Non-residential structures","Dollars","81","millions","6","v62305736","1.1.1.14","114747","","","","0"
"2019-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Non-residential structures","Dollars","81","millions","6","v62305736","1.1.1.14","114945","","","","0"
"2020-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Non-residential structures","Dollars","81","millions","6","v62305736","1.1.1.14","116882","","","","0"
"2020-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Non-residential structures","Dollars","81","millions","6","v62305736","1.1.1.14","97565","","","","0"
"2019-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Machinery and equipment","Dollars","81","millions","6","v62305737","1.1.1.15","70960","","","","0"
"2019-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Machinery and equipment","Dollars","81","millions","6","v62305737","1.1.1.15","70286","","","","0"
"2019-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Machinery and equipment","Dollars","81","millions","6","v62305737","1.1.1.15","67851","","","","0"
"2020-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Machinery and equipment","Dollars","81","millions","6","v62305737","1.1.1.15","64730","","","","0"
"2020-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Machinery and equipment","Dollars","81","millions","6","v62305737","1.1.1.15","49925","","","","0"
"2019-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Intellectual property products","Dollars","81","millions","6","v62305738","1.1.1.16","33574","","","","0"
"2019-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Intellectual property products","Dollars","81","millions","6","v62305738","1.1.1.16","33663","","","","0"
"2019-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Intellectual property products","Dollars","81","millions","6","v62305738","1.1.1.16","33071","","","","0"
"2020-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Intellectual property products","Dollars","81","millions","6","v62305738","1.1.1.16","33224","","","","0"
